Row,Difference,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,Total Expense
3expense,2,1,1,2,2,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
4expense,3,1,1,2,4,5,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
5expense,1,1,1,2,4,8,15,31,60,111,161,161,154,148,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,918
6expense,1,1,1,2,4,8,16,31,60,111,161,161,154,148,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,903
7expense,3,1,1,2,4,8,16,32,61,119,197,233,231,229,228,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1322
8expense,6,1,1,2,4,8,16,32,64,122,199,236,233,229,228,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1271
9expense,6,1,1,2,4,8,16,32,64,128,250,487,905,1532,1969,1963,1958,1946,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11511
10expense,7,1,1,2,4,8,16,32,64,128,256,505,990,1881,3283,4706,4704,4699,4697,2221,0,0,0,0,0,0,0,0,0,0,0,0,0,27686
11expense,1,1,1,2,4,8,16,32,64,128,256,512,1023,2044,4055,7919,14981,26237,38253,38236,38249,38230,19146,0,0,0,0,0,0,0,0,0,0,228373
12expense,4,1,1,2,4,8,16,32,64,128,256,512,1024,2044,4055,7919,14981,26237,38253,38236,38249,38230,19146,0,0,0,0,0,0,0,0,0,0,227350
13expense,1,1,1,2,4,8,16,32,64,128,256,512,1024,2048,4095,8187,16340,32434,63358,119878,210149,306479,306391,306476,306387,153479,0,0,0,0,0,0,0,1833653
14expense,5,1,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8187,16340,32434,63358,119878,210149,306479,306391,306476,306387,153479,0,0,0,0,0,0,0,1829558
15expense,1,1,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16383,32760,65456,130592,259113,505717,954553,1663260,2361188,2360271,2361187,2360269,1069991,0,0,0,0,14140740
16expense,8,1,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32760,65456,130592,259113,505717,954553,1663260,2361188,2360271,2361187,2360269,1069991,0,0,0,0,14124357
